X	Y

11486,076067301894000	74158,533239324213360



11466,684342584263500	74158,533239324213360



11465,274035332073250	74050,575037335103840



11358,972126198157640	73995,510563589705270



11644,065907452790270	73910,345500809416990



11362,145317515587520	73842,319465186170420



11352,625743563297870	73865,819368401469540



12079,004834252740690	73777,713677353356620



11760,945120978140040	73579,529492296700480



11981,341057038496730	73490,477227480791040



12074,597624089643430	73493,657665509934300



12035,990463060908950	73578,292655285360520



12892,682114076995280	73328,161315752760860



12960,059713274602470	73305,544867545555460



12797,838951367133630	73406,258738468299270



12811,589447075997670	73345,123651908172180



12772,100844014643370	73262,962336155411320



12683,780352346166180	73305,544867545555460



12678,139123337401540	73269,323212213683290



12669,324703011205200	73353,074746981015780



12572,683228330630300	73391,240003330691250



12567,041999321863840	73362,262679065199340



13016,472003362252510	72982,503263104052160



12989,147300351047310	72798,631049178526160



12637,733650337950170	72908,823115428996970



12447,518459698656440	72849,164675641513900



12396,042244993675920	72792,800246125101700



12350,348119798509290	72899,988565348045080



12133,337091367578980	72903,522385380434570



11918,934961129034490	72795,803993152614560



11833,752232872511740	72768,063505898462610



11288,245047276595870	73463,973577237964490



11283,308971893926360	73428,521804672272990



11257,570864541436090	73403,608373444003520



11352,096878343725620	73213,375283460205540



11430,016354027291530	73169,202533055489760



11571,399656059464180	73116,725305574684170



11442,003965670917750	73173,266426092726760



11572,986251718179120	73073,259319176460850



11569,107906774654110	73058,063893037237000



11591,496534403189800	72985,683701133195420



11408,509168431375660	72707,105110339951350



11424,198836612002200	72571,822921859609780



12917,750495708864040	72288,827056025897040



12902,554264842334300	72264,153434558946180



12884,043982157323630	72281,822534720835390



12861,655354528787940	72279,348860698170030



12798,191528180181190	72251,254991440771840



12802,069873123706200	72231,112217256217260



12763,110135281924160	72047,416694332307090



12771,043113575498860	72024,093482118623800



12909,112363789192390	71958,541120518028040



12937,318508833017400	71958,541120518028040



12685,014371191833560	71945,996059403085380



12489,827677264393060	71995,822921859609780



12511,511151266833620	71904,827056025897040



12493,000868581824760	71883,157181586473600



12497,760655557969580	71832,270173120239640



12519,444129560410150	71818,664965995587410



12537,954412245420830	71826,792752070061400



12513,802900551645510	71772,725305574684170



12484,891601881723540	71759,120098450031940



12489,827677264393060	71748,518638352907140



12113,557361931427300	72008,721364977784100



11893,373142183068920	71918,432263150549260



11882,972126198157640	71881,743653573517800



11766,762638393427550	72401,025842053873930



11823,351216887602280	72500,616448207205400



11306,050176335511420	72107,605207124652220



11229,364719497611080	72070,209833541142870



11195,869922258068980	72099,477421050178240



11628,552527678684780	71885,277473605892740



12019,243064441137900	71705,292461715973330



11918,934961129034490	71696,457911635036000



12017,656468782422960	71618,360488919497580



12061,023416787302270	71611,822921859609780



11392,466923437699730	71190,011047513180530



11276,433724039494340	70768,905937173214620



11245,406964491287000	70742,818787693307970



11489,601835432371440	70673,202533055489760



11326,499631492282790	70481,379224057105600



11117,421581354930820	70276,657471940547110



11754,598738343278460	70916,442923524955400



11823,880082107174530	70950,304477076089820



11838,335731442133690	70939,942826740254530



11852,615092370569980	71005,962142586024130



11841,156345946516010	70979,811874346429250



11930,217419146563770	71026,104916770564160



11930,922572772660720	71013,383164654020220



11914,704039372460100	71001,191485542309240



11914,704039372460100	71028,048517788382020



12058,731667502492200	71042,890561924359640



12212,843162709861640	71522,063893037237000



12278,951315156326020	71501,100782604276900



12366,214076385660520	71526,657859079321500



12338,536796561405940	71491,736159518477500



12797,838951367133630	71969,319271616783220



12825,339942784861700	71867,431682442387680



12899,381073524902600	71637,796499097574270



12942,078295809164050	71651,048324218994820



12993,554510514144570	71594,683894702582620



12994,964817766334820	71576,484721535831340



12871,351216887602280	71595,567349710676360



12859,892470463548310	71613,589831875797240



12853,898664641736100	71581,432069581162070



12815,820368832572060	71559,345694378804180



12900,791380777094670	71533,725499144071360



12879,989348807273930	71527,011241082567720



12839,619303713299810	71466,822728290222580



12865,004834252740690	70738,931585657701360



12880,341925620321490	70712,781317418106480



12842,263629811157440	70782,864526301098520



12892,505825670470580	70810,428322553649200



12040,221384817481520	71158,560049225023250



12004,434838293129360	71161,740487254151960



12032,464694930429690	71133,002972749978660



12036,166751467431820	71033,172556835328580



11952,782335181624150	71147,428516123036390



12099,983154629086130	70697,939273282128850



11938,679262659712550	70617,898249548787140



11967,061696110060440	70624,435816608689500



12005,316280325749180	70556,649590746732430



12030,349234052142490	70528,202339486102580



11987,687439673358310	70477,845404024730670



12203,676165570617740	70574,785645153795480



12233,468906273159520	70591,571290307576420



12284,239967352043100	70613,480974508318470



12255,328668682122950	70609,770463474327700



12274,896681806276320	70585,033723247688620



11103,847374052589660	70091,901803006927360



11077,932978293576520	70170,882680730544960



11071,410307252192070	70151,623361554098660



11060,092421329185530	70130,597132361450350



12368,858402483518150	70219,056205412809500



12199,797820627092730	70205,097616284911060



12203,147300351047310	70191,139027157027160



12176,880327778984790	70196,263066203973720



12223,244178694772930	70139,785064445633900



12216,545219246863780	70160,987984639883500



12161,366948004881120	70153,213580568655740



12253,918361429930880	70083,243943927591320



12112,675919898807480	70178,063893037237000



12157,488603061354300	70087,131145963212480



12024,002851417282730	70135,897862410012750



12022,239967352043100	70105,683701133195420



12007,784318017083930	70079,356741891984710



11970,411175834015010	70074,232702845038150



11941,323588757570180	70102,326572102436330



