X	Y

11776,933568227219440	46654,378191884272380



11853,772716345782100	46661,628661365473820



11908,166027163060790	46689,569494975963600



11946,233128065834540	46662,512864960743180



11870,627635995047970	46637,401482855115320



13296,591304485906220	54254,446186871995450



13134,693680933942230	54162,714874575453000



13262,401408304709550	54241,536814381077420



13184,152367560118360	54118,151013373913880



13241,781728649040820	53984,508450661640380



13228,916458436529860	53874,336682691180620



13197,193874350883560	53954,268687703457540



13122,533357034444630	53910,765870816241660



13002,516247243753240	53890,075506686960580



12955,284844271793190	53880,702948577112700



12935,546347507392060	53892,728117472761370



12903,358845550064870	53887,599736620206380



12681,300756950549840	54001,131478252689700



12912,635592334425380	54160,062263789644930



12873,751100403462260	54143,616076917649480



11820,464003055854850	54279,380728258569440



11764,773244327723660	54306,967880430951480



11758,781200667101080	54279,380728258569440



11738,161521011432340	54322,529863707677580



11821,345185947122440	54179,868424323663930



11810,947227830161860	54151,397068556012530



11611,271184668850760	54239,945247909592580



11543,131420747793530	53906,875374997063780



11976,369582947198070	53924,913128340536780



11958,217215387077890	53790,916884190155540



11921,383770532080230	53816,735629171998880



12009,678296237125320	53780,660122485045580



11764,773244327723660	53819,034558519699200



12515,525928677005140	53723,540570230688900



12545,662383558368670	53713,991171401794420



12543,900017775833480	53689,940833610489790



12530,153564672053110	53679,507231186318680



12502,660658464494190	53683,044045567388820



12612,456046716477430	53685,519815634143020



12744,922161700093060	53650,908055591949960



12804,313888571550710	53791,270565628263280



12809,600985919158120	53724,247933106904380



12291,769266158033130	53587,775918889776220



12267,801091515546430	53541,266809778644530



12229,205280878011760	53656,743799320720420



12306,749375309587780	53665,536814381077420



12401,500862546936330	53807,893593219312600



13266,807322761049360	53866,909372490918030



13230,502587640810820	53730,967880430951480



13247,421299153154900	53647,194400491818670



13197,722584085644480	53631,809257934146440



12998,991515678681030	53747,237226583893060



13020,492378225619180	53693,831329429667680



13058,207005971886250	53689,587152172382050



13072,482168810425720	53621,906177667136940



12890,846048494060600	53648,255444806141900



13377,660130482554450	53390,647538037213960



12232,377539286575480	53359,700412202815640



12598,004647299683710	53103,153549748210940



12518,169477350809760	53182,378191884272380



11818,172927538558720	53317,081798910869110



11626,956240133420580	53336,887959444888110



11785,392923983392390	53272,920640039774300



11914,158070823683370	53163,279394226476140



11935,658933370619710	53159,742579845398720



11911,514522149878760	53142,589030097187790



11409,720331009830260	53417,350486614326660



11924,379792362389710	52906,732531771864160



12198,011406527126380	52894,176840719053870



12204,179686766003220	52869,821842381978060



12168,932371115286520	52872,297612448724980



12338,648195973486510	52922,648196486705280



12498,607217164662870	53071,724922648980280



12494,377539286575480	53057,931346562792900



12026,420771171215160	52803,152891298726900



12387,930646021412030	52844,179938119188590



11779,224643744517380	52677,998683101031930



12594,127442578104820	53029,636831514195360



12570,159267935616300	53024,331609942586510



12746,684527482628260	52866,108187281846760



12924,972152812177230	52857,619832767268240



12832,511741092124790	52874,773382515479170



12945,591832467845960	52827,556910528139270



12973,084738675404880	52823,312733270846360



13084,818729288177560	52951,119552254349400



13354,925611887842020	52633,434821899492820



13198,075057242152980	52615,397068556012530



13151,083682711525400	52570,302685197319080



13201,423552228970950	52540,593444396290580



13032,828938703369200	52650,411530928649880



13013,795388251983240	52670,217691462661600



13004,454849604542690	52686,487037615603180



13003,573666713275090	52606,555032603326260



12977,843126288251370	52611,683413455888520



12922,152367560118360	52674,461868719954510



12906,643548673804620	52651,295734523919240



12918,627635995047970	52554,917542639646860



12890,493575337553920	52365,216471987339900



12917,922689682032800	52351,422895901152520



12927,439464907725780	52329,848328176602080



12898,952931093725060	52307,438577749111580



12873,222390668701340	52260,222105761771670



13018,906249021336410	52281,973514205375980



12628,317338759299670	52626,184352418291380



12658,037528621076490	52546,429188125068320



12644,291075517296120	52527,330390467264800



12628,846048494060600	52442,849547651923780



12705,973877906051710	52253,325317718670700



