X	Y

18279,265281368971040	69033,815815916619620



18325,817618463486720	69055,507537673984190



18329,506671591730990	69081,608145967402380



18283,481342086965020	69098,538270265838940



18287,697402804958980	69145,801533932302840



18293,670155488784080	68986,250938837634750



18051,169436309504820	69102,947156801892560



17973,347982223200230	69156,030150695936760



17965,969875966711700	69133,633007092794280



17984,590810804518700	69100,125469418810100



17946,470595145990960	69085,311610657692660



17922,052576820940880	69071,555884665212940



17858,558768959821460	69196,944617750486940



17902,026288410470440	69204,880613515371800



17924,687614769689390	69124,638878559257140



17878,233718977124230	69410,761597458928010



17913,269116991788900	69434,393229292167240



17812,006431865305780	69412,877862996232580



17821,668237677375150	69458,024861125391910



17859,261445746153180	69468,606188811914760



18028,156771557121830	69477,953028268340860



18076,641469814050650	69396,351547131052940



18038,169915762355230	69447,619888900313520



18035,007870223860660	69429,455276371794760



18013,224889847559100	69477,953028268340860



17968,253575522292520	69540,559217080270180



17948,227287111822080	69529,448823009413900



17908,526048684045240	69557,665696840136660



17886,216060717993970	69553,962232149860940



17977,212704548030160	68703,251520733552750



17904,309987966051270	68763,741444008162940



17894,648182153981910	68785,080454842653120



17925,917299145770810	68748,398518862712080



17915,377147350784070	68699,371700581818000



17828,870674737281660	68530,297910569293890



17961,402476855550050	68665,511451984959420



17995,833639385833520	68658,457233527267820



17810,249739899474660	68578,795662465840000



17989,860886702008430	68974,435122921015140



18027,454094770790110	68967,557259924782560



17985,117818394268400	68995,597778294060840



17737,522692514077790	68936,342343249532860



17612,896004242047640	69678,065379494684750



17612,896004242047640	69662,546098887774860



17731,374270633670680	69962,122930367419030



17610,260966293299130	70038,962814045778940



17588,126647523833530	70026,088865360507040



17614,477027011293100	70018,681935979941040



17834,667758224521090	69550,435122921015140



17968,429244718874540	69257,030732591854760



18017,616619762135090	69195,181063136071320



18141,463403353205650	69237,807987294669140



17992,671593847338950	69217,527109228845800



17405,606352274015080	68534,883152566777420



17450,577666599281660	68540,173816410038860



17501,873072001541000	68440,407722744217610



17370,648182153981910	68506,666278736054660



17514,696923352104930	68273,046389835741140



17389,796124581538610	68322,954985423828480



17311,019096617688770	68288,036604058317600



17303,113982771450540	68315,724411504706950



17227,049220650977080	69247,683893135428660



17644,242349128464410	69298,826976953612760



17231,792288958720750	69560,663739684649040



17229,684258599721940	69618,104522604393420



17290,992808207218330	69597,345675664590090



17264,466759523173100	69657,960856890291320



17179,267199180379980	69609,463104993730660



17173,997123282886600	69577,241153060211220



17204,212225095176110	69540,559217080270180



17191,564042941194200	69544,262681770545900



17223,711505915896850	69529,448823009413900



17134,822892444859460	69599,410843691541230



17154,497842462165860	69583,060883287791510



17206,320255454171270	69639,267177977439140



17238,116380035709880	69657,431790505957900



17260,602037198343170	70014,625760366776380



17448,118297847118810	69940,607564071484380



17723,996164377182140	69933,376990152362850



17687,105633094735820	69900,045807939823140



17054,113503318596490	69257,207088053299230



17036,195245267121210	69263,026818280879520



17038,830283215869710	69304,999418104082000



17000,358729164174290	69126,226077712228290



17191,212704548030160	69064,148955284646940



16978,927087181040410	68851,515366295920100



16948,184977779001200	68836,172441150469240



16979,629763967372130	68793,898227914745800



16959,603475556901680	68808,183020291558940



16654,388853197462600	68273,575456220060000



16645,254054975142940	68164,991589482146080



16736,777706394928830	68121,960856890291320



16695,495445197902880	68105,030732591854760



16662,645305436868510	68129,015075347968380



16550,842468515398650	69060,798201517245620



16546,275069404240640	68991,365247219451700



16522,032720275776230	68878,674107358005130



16764,533439455051850	69318,049722250798370



16911,821454086304580	69775,589949672110380



16897,065241573323870	69762,716000986853030



16850,512904478808200	69779,293414362400660



16543,640031455492140	69824,565670442636480



16598,350379487463220	69727,973975082772080



16519,397682327027720	69812,397143603142460



16510,789891694457760	69801,110394070841720



16966,454574223640520	70060,125469418810100



16515,708629198783460	70097,336471783084560



16456,683779146871530	69960,535731214433320



16477,412744343673690	69902,691139861446570



16452,994726018627260	69829,327267901564480



16469,507630497435460	69819,804072983708460



16227,006911318156200	69847,315524968653340



16227,006911318156200	69815,395186447654850



16729,223930941854630	70025,912509899062570



16462,129524240946920	69678,241734956114670



16468,453615317936060	69669,247606422577520



16322,296843760816050	69692,173816410038860



16596,593687521632090	69927,557259924782560



16421,901278223420380	68903,187516498437620



16280,761685472578390	68993,481512756756280



16268,113503318596490	68981,136630455817800



16255,992328754364280	68956,799576776815230



16510,965560891039790	68802,010579141075140



16502,709108651637510	68120,550013198750100



16439,643867078310000	68144,005289570544840



16443,859927796303960	68113,143083818184100



16468,453615317936060	68057,994921897203310



16345,485177709781060	68095,683893135428660



16238,952416685806380	68016,551388458319700



16708,670634941634490	68200,086326309101420



16113,173271932322680	68180,687225550485890



16086,295884855111580	68188,094154931051890



16079,796124581536790	68181,745358319138180



16067,674950017304580	68185,448823009413900



16006,640510908346190	68164,109812174938270



15993,816659557782260	68297,559798976173620



15969,047302839568150	68360,695054172421800



15899,130962599501800	68264,581327686522860



16128,456492035049450	68731,997460948594380



16144,793727317275620	68711,892938344200960



16004,883818942515060	68697,431790505957900



15985,735876514960180	68706,425919039509610



16222,790850600162230	68929,111769330411340



16015,775309130665850	68960,503041467090950



16068,026288410470440	69052,509494829471800



16003,127126976683940	69007,237238749235980



15971,858009984896850	68966,322771694685800



15978,182101061887810	68953,096112086524960



16124,767438906805180	69129,576831479629620



16168,509068855992160	69231,282835221325520



16174,481821539815430	69209,818566435758840



16158,495924650756930	69206,115101745468560



16115,456971487901680	69325,456651631364360



16007,167518498095890	69429,278920910350280



15957,804474258249680	69467,548056043262480



16179,576228240724960	69683,708754260820570



16233,506671591730990	69781,056968976816280



15989,249260446620610	69919,268553237008740



15962,371873369411330	69883,292039102831040



16171,846783591070560	70129,785876688416460



15948,845345232513860	70101,745358319138180



16165,347023317495770	70115,501084311617890



15781,706711387376340	69821,038561213790670



15758,342708241825680	69393,706215209414950



16131,618537573545840	68698,842634197499140



15841,511466120253320	68380,270510392481810



15910,373791180818440	68367,925628091543330



16196,440471112700830	68117,199259431348760



16176,238513505646550	68112,437661972420760



16407,672073300193010	68133,776672806896380



15736,735397062107950	68279,924252831973720



15662,075988514299750	68233,946574905974560



15607,618537573545840	68409,545516991871410



15624,658449642103730	68447,939910075860100



15735,154374292860670	68431,942660594999320



15570,025329504765980	68387,677439773047810



15530,324091076990950	68467,515366295920100



15557,904154940533770	68478,273049443887430



15566,863283966271410	68425,946574905974560



15777,490650669382380	68335,123512263337040



15367,225848753263560	68440,407722744217610



15545,431641983135700	68729,175773565526470



15615,699320616366090	68746,105897863963040



15986,438553301291900	69073,495794741073040



15929,346064411791300	69110,706797105332960



15374,076947420004220	69045,807987294669140



15295,377147350784070	70037,551970354237710



14922,276987215649570	69247,683893135428660



14953,721773404020500	69121,640835714744760



14989,733958703551250	69098,185559342950000



15019,499280820722560	69073,495794741073040



15239,261445746153180	69078,433747661445520



14982,355852447060900	68871,267177977439140



14897,156292104269600	68830,352710922888940



14469,423011831795520	68571,565088546718470



14460,463882806057880	68588,142501922266090



14447,288693062328090	68526,947156801892560



14845,685217505426410	69226,344882300938480



14855,347023317495770	69198,002750519139220



14861,319776001320860	69186,892356448297500



14845,333879112260550	69200,119016056443800



14836,901757676272610	69204,880613515371800



14629,007870223860660	69882,939328179942100



14425,330043489442690	70175,939910075860100



14399,331002395147150	70170,171277358633240



14680,478944822703850	70314,202591846406000



14721,234198429976460	70316,318857383710560



14681,005952412451730	70269,055593717246660



14616,535357266462600	70285,456651631364360



14446,937354669162230	70173,345675664590090



14362,967478702450540	69919,092197775564280



14375,088653266682740	68669,567627598124090



14361,210786736619410	68678,032689747342380



14395,817618463486720	68589,024279229473900



14671,168477403800350	68388,382861618825700



14328,536316172167060	68625,706215209414950



14326,955293402919780	68598,547474147344480



14278,294925949407120	68634,700343742966650



14290,943108103389020	68617,241153060211220



14289,889092923889620	68601,721872453301330



14218,391729914577810	68625,177148825096080



14196,004514053895040	68619,533774058945710



14416,370914463706870	68530,650621492168280



14414,087214908126040	68816,295371517888270



14416,897922053454750	68891,018989658943610



13788,023411693357050	70258,474266030723810



13919,950978327249690	69880,293996258318660



13905,019096617686960	69878,177730721014080



14184,410347079412530	69898,634964248281900



14230,337235282226180	69848,902724121639040



14073,387414838907720	69264,790372895309700



13890,087214908126040	68812,239195904723600



13758,335317470817240	68694,786458584334470



14182,477985916999390	68522,538270265838940



13545,874030907245470	68585,497170000642660



13480,700758974922790	68628,527902592497410



13474,376667897931840	68599,252895993122360



13456,458409846458380	68625,353504286540560



13396,126647523831710	68624,119016056443800



13397,180662703331110	68598,018407763025600



13549,914422428655600	68695,844591352986760



13509,686176411130870	68710,658450114118750



13470,160607179937870	68890,137212351735800



13650,045864481011450	70196,220788141698000



13532,698841163513860	70238,193387964900460



13515,658929094955960	70229,728325815682180



13681,314981472798540	70197,278920910350280



13743,052097368090470	70171,229410127285520



13719,161086632790100	70139,838137990605900



13738,309029060346800	70126,082411998126190



13233,456971487901680	69527,685268394998280



13257,347982223200230	69506,875323944841510



13263,496404103609170	69373,425337143591600



13331,831721574426410	69291,067336650157820



13368,897922053454750	69253,327267901564480



13328,845345232513860	69436,156783906582860



13485,268158086082620	69359,493255689667420



13444,688573675392040	69423,635546144199900



13396,653655113581410	68835,114308381816960



13377,330043489442690	68818,058926132303900



13361,344146600382370	68815,413594210680460



13321,818577369191190	68684,734197282130480



13288,441430018405300	68658,809944450156760



13226,078865231413150	68599,076540531677890



13167,405353572665260	68616,006664830114460



13174,256452239404100	68606,483469912243890



13082,128565335240640	68907,420047573046760



12870,721293951168260	68950,627135626345990



12887,585536823144140	68922,410261795623230



12929,647702701129670	68864,389314981192000



12977,781062564892640	68847,811901605644380



13010,631202325928820	68817,529859747985030



12990,604913915458380	68835,114308381816960



12891,274589951388410	68849,575456220060000



12867,032240822924000	68868,798201517245620



12829,439032754144140	68865,094736826955340



12856,316419831355230	68856,629674677751610



12784,994726018625440	68894,722454349219340



12804,494006839348000	68989,954403527910470



12817,669196583077790	68973,376990152362850



12799,750938531604330	68970,731658230739420



12823,114941677153180	68951,685268394998280



12953,714382633010250	69048,982385600626000



13352,385017574646550	70533,714043831365420



13079,844865779661630	70438,482094652674280



13067,723691215429430	70462,819148331676840



13040,143627351884790	70428,253477889040370



12609,423970737499980	69995,932081453924180



12618,910107352985510	70016,036604058317600



12592,559727865524110	70021,856334285897900



12619,437114942735210	69949,248981682147130



12591,505712686026530	69940,254853148609980



12618,383099763237620	69299,356043337946180



12614,694046634991540	69318,402433173672760



12709,281302291319660	68998,419465677128760



12694,525089778340770	68979,902142225721040



12714,200039795645350	68949,039936473360280



12701,903196034829310	68943,220206245779990



12642,449779695118200	68991,012536296562760



12620,139791729066930	68998,419465677128760



12642,175669196583840	68946,923670936055720



12283,304713984676710	68931,580745790604850



12352,167039045243660	68925,761015563024560



12385,621414290659230	68921,352129026970940



12410,215101812289500	69379,068711909727420



12376,233718977124230	69477,071250961133040



12359,720814498316030	69483,949113957380180



12341,802556446840750	69523,805448243278080



12353,396723421325080	69549,906056536696270



12454,659408547808200	69576,183020291558940



12374,652696207876940	69612,637503299687520



12455,186416137557900	69542,322771694685800



