X	Y

11749,421300673971930	59814,826344638444420



11750,299387118457160	59743,570739292314100



11505,685498719274620	59594,113720449597160



11721,498151739326200	59651,953281945294300



11851,630562812109930	59643,479991092390260



11583,835192278504110	60140,280675571666500



11612,088580756406370	60230,248131551292320



11628,947840490531240	60253,373154504006380



11496,377782407726040	60388,531495032446400



11617,005864845525140	60425,425615621126780



11590,684266545491480	60416,069690304379040



11608,225000400669160	60422,954239122365840



11581,552167522841050	60456,847402533981950



11630,704013379503520	60363,525935591751480



11592,264822145565630	60532,224385746267220



11299,180562010771610	60226,717593695917460



11519,910499119943780	59741,981997257396870



10959,557720318234720	59627,769097635966320



10968,338584763092510	59882,259617676128980



11165,711422448943270	60169,760666664064040



11003,813277120314520	60112,919007192504070



11010,135499520611120	60098,620328878227160



11174,141052316006610	60233,425615621126780



11023,482413476795050	60281,264403561479410



11283,726240587822760	60200,591613566131860



11634,567593735240740	60955,060302155405220



11763,119449207948490	60620,956153476508920



11741,342905384703040	60617,602142513896980



11778,046918764206570	60373,058387801269420



11587,347538056446860	59808,294849605998020



12087,463586766434670	60290,443801985456960



12064,457721920909540	60290,796855770997360



12095,717599344599880	60333,869417606591020



12021,607103430005740	60447,844531002767320



11843,200932945046590	60758,470602943416450



12079,736426054960250	60792,832087700859120



12238,297842894542560	59647,010528947772400



12307,666672008914250	59500,201413496586610



12115,562352989978540	59473,192798902957300



12542,972844096548220	59442,653646453953120



12508,025003606016980	59464,013400478979740



12575,286425253623750	59332,738651591454980



12554,914819741554310	59497,376983212285270



12494,326855072040420	59648,775797875459830



12495,204941516525650	59632,182269955184900



12505,741978850353920	59676,490520040162660



12384,214814933531670	59908,032544020381460



12592,848154143337520	60125,628943471856480



12364,039821744898290	60168,524978414679940



12362,108031567029680	60506,451459402014740



12145,923148934645720	60555,878989377284600



12289,226856674715240	60775,355925316747740



12637,103710945417330	60505,215771152637900



12658,332407867434080	60556,232043162825000



12614,800315255481110	59969,816956489463340



12703,466051114000950	59515,735780060240360



12691,875310046789310	59383,401869816101680



12718,744755248051660	59377,046901676425480



12920,683642445228540	59356,569782115242560



13004,101854671371260	59762,459116818579780



12881,893216633498010	60141,516363821050620



12841,325622898257280	60119,273975332180270



12975,300619292240300	60249,313035970320920



12939,825926935016470	60234,484776977740700



12762,473460183440690	60170,113720449597160



13024,473460183440690	60331,751094893363190



12953,875310046789310	60383,765268927687430



12839,920684587081270	60451,904649536452780



12894,537661434091200	60497,448587870807380



12916,468827511696870	60478,207156559008580



12947,377470357594580	60578,413172319218580



13212,362964268846550	60963,648860568602680



13128,438895210549160	60757,941022265113140



13119,833648054589500	60687,153738264816640



13065,919140363166660	60363,525935591751480



13109,120993431863100	60335,634686534278440



12910,497839689194730	60381,708205546936370



